,date,pre_price,post_price,pct_change,company,volume,MA200,RSI,Above_MA200,RSI_Level,EPS_Actual,EPS_Estimate,EPS_Surprise
0,2025-03-19 20:00:00-04:00,87.08000183105469,94.72000122070312,8.773540685576608,MU,25484299.5,105.67497009277344,29.160493695704687,False,Oversold,,,
1,2024-12-17 19:00:00-05:00,102.68658447265625,88.51499938964844,-13.800814542411304,MU,32264678.57142857,110.2186604309082,61.409532026148945,False,Neutral,,,
2,2024-09-24 20:00:00-04:00,86.96895599365234,102.00247955322266,17.286080289002864,MU,34312880.0,104.38238143920898,32.167839973026545,False,Neutral,,,
3,2024-06-25 20:00:00-04:00,147.34326171875,131.16671752929688,-10.97881504776991,MU,36561284.615384616,91.96775428771973,67.0720787195997,True,Neutral,,,
4,2024-03-19 20:00:00-04:00,94.10799407958984,117.50184631347656,24.858517560263653,MU,32492414.285714287,73.65015628814697,73.295109594693,True,Overbought,,,
5,2023-12-19 19:00:00-05:00,77.35553741455078,84.97698974609375,9.852497424585604,MU,17726950.0,65.72405061721801,46.891427395759756,True,Neutral,,,
6,2023-09-26 20:00:00-04:00,69.98948669433594,69.56925964355469,-0.6004145345664578,MU,17206566.666666668,61.33089834213257,74.50422893966277,True,Overbought,,,
0,2025-02-11 19:00:00-05:00,61.040000915527344,63.97999954223633,4.816511439404497,CSCO,20859900.0,51.52947107315063,62.809006631145685,True,Neutral,,,
1,2024-11-12 19:00:00-05:00,55.45213317871094,58.153724670410156,4.871934291495224,CSCO,19984800.0,48.318284873962405,63.358783549633785,True,Neutral,,,
2,2024-08-13 20:00:00-04:00,44.10016632080078,50.01435470581055,13.410807437749305,CSCO,23023560.0,47.541206436157225,35.20972141655611,False,Neutral,,,
3,2024-05-14 20:00:00-04:00,46.04182434082031,45.36746597290039,-1.4646647424916244,CSCO,20386186.666666668,49.392636127471924,36.27119810211078,False,Neutral,,,
4,2024-02-13 19:00:00-05:00,47.99528503417969,47.36517333984375,-1.312861656904851,CSCO,22745307.14285714,49.18166847229004,41.48264651372378,False,Neutral,,,
5,2023-11-14 19:00:00-05:00,51.26076126098633,46.518489837646484,-9.251269990305634,CSCO,23869757.14285714,48.62890199661255,44.680844159005126,True,Neutral,,,
